",appid,english,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,price"
"333,13250,1,0,0,1228.0,132,67,41,5.99"
"334,13500,1,0,0,657.0,101,307,312,8.59"
"335,13520,1,0,0,3099.0,609,126,229,8.59"
"336,13530,1,0,0,365.0,109,205,205,8.59"
"337,13540,1,0,0,371.0,106,0,0,8.59"
"338,13560,1,0,0,900.0,147,28,28,4.29"
"339,13570,1,0,0,1777.0,140,22,22,8.59"
"340,13580,1,0,0,356.0,454,0,0,8.59"
"341,13600,1,0,0,831.0,122,167,167,8.59"
"342,13620,1,0,0,34.0,2,2,2,4.29"
"343,15000,1,0,0,80.0,79,20,20,4.29"
"344,15080,1,0,0,239.0,80,29,29,4.29"
"345,15100,1,0,0,5743.0,1162,360,476,8.59"
"346,15120,1,0,0,2582.0,456,1349,1936,8.59"
"347,15130,1,0,0,1823.0,186,355,448,4.29"
"348,15160,1,0,0,76.0,38,0,0,4.29"
"349,15170,1,0,0,1258.0,183,396,396,8.59"
"350,15190,1,0,0,624.0,100,69,69,4.29"
"351,15200,1,0,0,234.0,128,134,134,8.59"
"352,15210,1,0,0,685.0,113,0,0,4.29"
"353,15240,1,0,0,70.0,24,0,0,4.29"
"354,15270,1,0,0,272.0,40,0,0,4.29"
"355,15300,1,0,0,536.0,45,476,476,8.59"
"356,15320,1,0,0,1287.0,185,1812,1812,8.69"
"357,15370,1,0,0,759.0,66,6679,6679,8.59"
"358,15380,1,0,0,84.0,21,19,19,8.59"
"359,15390,1,0,0,823.0,98,346,346,8.59"
"360,15400,1,0,25,89.0,21,0,0,5.79"
"361,15500,1,0,11,402.0,135,0,0,6.99"
"362,15520,1,0,7,547.0,103,151,151,6.99"
"363,15560,1,0,10,747.0,252,136,136,6.99"
"364,15620,1,0,73,5626.0,755,628,293,14.99"
"365,15700,1,0,0,2739.0,442,387,217,1.99"
"366,15710,1,0,0,806.0,48,67,67,1.99"
"367,15740,1,0,38,437.0,155,3,3,3.99"
"368,15750,1,0,36,759.0,139,98,98,6.99"
"369,15800,1,0,9,1.0,1,0,0,5.99"
"370,15900,1,0,0,92.0,29,0,0,6.99"
"371,15910,1,0,0,6.0,3,0,0,5.99"
"372,15920,1,0,0,7.0,14,0,0,5.99"
"373,15930,1,0,0,52.0,14,102,102,5.99"
"374,15960,1,0,0,73.0,35,0,0,5.99"
"375,15970,1,0,0,29.0,14,0,0,5.99"
"376,16000,1,0,0,20.0,29,0,0,6.99"
"377,16020,1,0,0,30.0,23,0,0,5.99"
"378,16030,1,0,0,57.0,21,0,0,6.99"
"379,16040,1,0,0,29.0,14,0,0,5.99"
"380,16060,1,0,0,26.0,25,0,0,5.99"
"381,16100,1,0,0,20.0,7,0,0,5.99"
"382,16110,1,0,0,11.0,3,0,0,5.99"
"383,16120,1,0,0,48.0,5,0,0,5.99"
"384,16130,1,0,0,35.0,8,0,0,5.99"
"385,16180,1,0,0,32.0,7,0,0,5.99"
"386,16200,1,0,0,20.0,7,0,0,7.49"
"387,16450,1,0,0,3274.0,509,301,367,9.99"
"388,16500,1,0,12,10.0,1,0,0,1.99"
"389,16600,1,0,25,169.0,33,382,382,5.99"
"390,16620,1,0,0,21.0,13,0,0,16.99"
"391,16710,1,0,0,308.0,110,264,265,0.79"
"392,16720,1,0,0,1219.0,832,9,10,1.69"
"393,16730,1,0,0,1095.0,1000,90,90,1.69"
"394,16810,1,0,0,330.0,95,1,1,9.99"
"395,16900,1,0,0,599.0,143,0,0,15.49"
"396,17080,1,0,0,6470.0,1738,128,75,0.0"
"397,17100,1,0,16,180.0,38,0,0,5.99"
"398,17120,1,0,4,54.0,13,0,0,1.49"
"399,17140,1,0,9,113.0,38,0,0,6.99"
"400,17180,1,0,13,15.0,6,0,0,6.99"
"401,17300,1,0,0,6075.0,1277,313,105,9.99"
"402,17330,1,0,0,1694.0,312,18,29,7.99"
"403,17390,1,0,0,15101.0,2014,1142,764,14.99"
"404,17410,1,0,0,17880.0,2341,260,172,9.99"
"405,17430,1,0,0,2351.0,1081,916,1046,9.99"
"406,17440,1,0,0,481.0,100,171,240,9.99"
"407,17450,1,0,0,6207.0,468,2061,2889,14.99"
"408,17460,1,0,0,10107.0,666,612,633,7.99"
"409,17470,1,0,0,9136.0,1049,295,178,14.99"
"410,17480,1,0,0,4390.0,855,575,395,9.99"
"411,17500,1,0,106,5267.0,914,948,86,0.0"
"412,17570,1,0,247,3839.0,582,117,197,0.0"
"413,17710,1,0,58,1675.0,441,971,1184,6.99"
"414,17740,1,0,8,663.0,115,701,1378,0.0"
"415,18000,1,0,12,394.0,42,7,7,5.99"
"416,18020,1,0,12,118.0,23,0,0,5.99"
"417,18040,1,0,12,540.0,34,1008,1008,7.99"
"418,18050,1,0,13,125.0,18,0,0,7.99"
"419,18070,1,0,12,149.0,37,14,14,9.99"
"420,18120,1,0,30,190.0,48,37,37,6.99"
"421,18300,1,0,14,297.0,101,126,126,3.99"
"422,18400,1,0,0,97.0,108,66,66,7.19"
"423,18420,1,0,0,98.0,24,0,0,6.99"
"424,18470,1,0,0,53.0,23,0,0,6.99"
"425,18480,1,0,0,53.0,37,1,1,3.99"
"426,18500,1,0,87,3307.0,113,455,686,6.99"
"427,18600,1,0,21,12.0,10,0,0,6.99"
"428,18700,1,0,30,735.0,327,17,22,6.99"
"429,18820,1,0,45,652.0,173,373,373,3.99"
